from,to,pair,dep_animal_on_plant,dep_plant_on_animal,ASYMMETRY
Bombus pascuorum (Scopoli),Trifolium dubium,Bombus pascuorum (Scopoli)_Trifolium dubium,0.004,0.1,0.958
Bombus pratorum (Linnaeus),Tripleurospermum inodorum,Bombus pratorum (Linnaeus)_Tripleurospermum inodorum,0.61,0.009,0.986
Bombus pratorum (Linnaeus),Senecio jacobaea,Bombus pratorum (Linnaeus)_Senecio jacobaea,0.244,0.021,0.915
Bombus pratorum (Linnaeus),Cirsium vulgare ,Bombus pratorum (Linnaeus)_Cirsium vulgare ,0.146,0.048,0.671
Bombus ruderatus (Fabricius),Cirsium vulgare ,Bombus ruderatus (Fabricius)_Cirsium vulgare ,1,0.036,0.964
Bombus soroeensis (Fabricius),Silene dioica,Bombus soroeensis (Fabricius)_Silene dioica,0.976,0.025,0.975
Bombus soroeensis (Fabricius),Cirsium vulgare ,Bombus soroeensis (Fabricius)_Cirsium vulgare ,0.024,0.012,0.506
Bombus terrestris (Linnaeus),Epilobium montanum,Bombus terrestris (Linnaeus)_Epilobium montanum,0.714,0.167,0.767
Bombus terrestris (Linnaeus), Melilotus alba,Bombus terrestris (Linnaeus)_ Melilotus alba,0.143,0.061,0.571
Bombus terrestris (Linnaeus),Tanacetum vulgare,Bombus terrestris (Linnaeus)_Tanacetum vulgare,0.143,0.005,0.964
"Byturus aestivus Linnaeus, Byturidae",Myosotis palustris,"Byturus aestivus Linnaeus, Byturidae_Myosotis palustris",1,0.077,0.923
Calliphoridae sp.,Achillea millefolium,Calliphoridae sp._Achillea millefolium,0.667,0.019,0.972
Calliphoridae sp.,Daucus carota,Calliphoridae sp._Daucus carota,0.333,0.059,0.824
Campus pratella,Trifolium repens,Campus pratella_Trifolium repens,0.865,0.095,0.89
Campus pratella,Tripleurospermum inodorum,Campus pratella_Tripleurospermum inodorum,0.054,0.009,0.841
Campus pratella,Verbascum thapsus,Campus pratella_Verbascum thapsus,0.043,0.067,0.351
Campus pratella,Senecio jacobaea,Campus pratella_Senecio jacobaea,0.022,0.021,0.046
Campus pratella,Vicia hirsuta,Campus pratella_Vicia hirsuta,0.011,0.077,0.859
Campus pratella, Melilotus alba,Campus pratella_ Melilotus alba,0.005,0.02,0.735
"Cantharidae sp., Cantharidae",Tripleurospermum inodorum,"Cantharidae sp., Cantharidae_Tripleurospermum inodorum",0.659,0.052,0.922
"Cantharidae sp., Cantharidae",Achillea millefolium,"Cantharidae sp., Cantharidae_Achillea millefolium",0.176,0.148,0.157
"Cantharidae sp., Cantharidae",Verbascum thapsus,"Cantharidae sp., Cantharidae_Verbascum thapsus",0.088,0.067,0.242
"Cantharidae sp., Cantharidae",Vicia hirsuta,"Cantharidae sp., Cantharidae_Vicia hirsuta",0.044,0.154,0.714
"Cantharidae sp., Cantharidae",Tanacetum vulgare,"Cantharidae sp., Cantharidae_Tanacetum vulgare",0.033,0.005,0.846
Ceuthorrhynchus assimilis Paykull,Myosotis palustris,Ceuthorrhynchus assimilis Paykull_Myosotis palustris,0.444,0.154,0.654
Ceuthorrhynchus assimilis Paykull,Senecio jacobaea,Ceuthorrhynchus assimilis Paykull_Senecio jacobaea,0.444,0.021,0.954
Ceuthorrhynchus assimilis Paykull,Aegopodium podagraria,Ceuthorrhynchus assimilis Paykull_Aegopodium podagraria,0.111,0.143,0.222
Ceuthorrhynchus rugulosus Herbst (?),Silene dioica,Ceuthorrhynchus rugulosus Herbst (?)_Silene dioica,1,0.025,0.975
Cheilosia albitarsis,Ranunculus repens,Cheilosia albitarsis_Ranunculus repens,1,0.022,0.978
Cheilosia impressa,Daucus carota,Cheilosia impressa_Daucus carota,1,0.294,0.706
Cheilosia velutina,Chaerophyllum temulentum,Cheilosia velutina_Chaerophyllum temulentum,1,0.021,0.979
Chloropidae sp.,Trifolium repens,Chloropidae sp._Trifolium repens,0.87,0.048,0.945
Chloropidae sp.,Tripleurospermum inodorum,Chloropidae sp._Tripleurospermum inodorum,0.109,0.009,0.921
Chloropidae sp.,Vicia hirsuta,Chloropidae sp._Vicia hirsuta,0.022,0.077,0.717
Chrysogaster cemiteriorum,Chaerophyllum temulentum,Chrysogaster cemiteriorum_Chaerophyllum temulentum,1,0.063,0.938
"Clytus arietis Linnaeus, Cerambycidae",Tripleurospermum inodorum,"Clytus arietis Linnaeus, Cerambycidae_Tripleurospermum inodorum",0.714,0.009,0.988
"Clytus arietis Linnaeus, Cerambycidae",Verbascum thapsus,"Clytus arietis Linnaeus, Cerambycidae_Verbascum thapsus",0.286,0.033,0.883
"Coccinella 7-punctata Linnaeus, Coccinellidae",Vicia hirsuta,"Coccinella 7-punctata Linnaeus, Coccinellidae_Vicia hirsuta",0.513,0.154,0.7
"Coccinella 7-punctata Linnaeus, Coccinellidae",Achillea millefolium,"Coccinella 7-punctata Linnaeus, Coccinellidae_Achillea millefolium",0.256,0.019,0.928
"Coccinella 7-punctata Linnaeus, Coccinellidae",Trifolium dubium,"Coccinella 7-punctata Linnaeus, Coccinellidae_Trifolium dubium",0.128,0.1,0.22
"Coccinella 7-punctata Linnaeus, Coccinellidae",Echium vulgare,"Coccinella 7-punctata Linnaeus, Coccinellidae_Echium vulgare",0.103,0.095,0.071
"Corticarina gibbosa Herbst, Lathridiidae",Echium vulgare,"Corticarina gibbosa Herbst, Lathridiidae_Echium vulgare",1,0.048,0.952
Diptera sp.,Tanacetum vulgare,Diptera sp._Tanacetum vulgare,1,0.005,0.995
Dolichopodidae sp.,Trifolium repens,Dolichopodidae sp._Trifolium repens,0.714,0.048,0.933
Dolichopodidae sp.,Chaerophyllum temulentum,Dolichopodidae sp._Chaerophyllum temulentum,0.232,0.271,0.143
Dolichopodidae sp.,Achillea millefolium,Dolichopodidae sp._Achillea millefolium,0.018,0.019,0.036
Dolichopodidae sp.,Vicia hirsuta,Dolichopodidae sp._Vicia hirsuta,0.018,0.077,0.768
Dolichopodidae sp.,Daucus carota,Dolichopodidae sp._Daucus carota,0.009,0.059,0.848
Dolichopodidae sp.,Trifolium dubium,Dolichopodidae sp._Trifolium dubium,0.009,0.1,0.911
Empididae sp.,Cirsium arvense,Empididae sp._Cirsium arvense,0.399,0.267,0.332
Empididae sp.,Ranunculus repens,Empididae sp._Ranunculus repens,0.299,0.043,0.855
Empididae sp.,Tripleurospermum inodorum,Empididae sp._Tripleurospermum inodorum,0.15,0.052,0.654
Empididae sp.,Chaerophyllum temulentum,Empididae sp._Chaerophyllum temulentum,0.065,0.271,0.76
Empididae sp.,Lapsana communis,Empididae sp._Lapsana communis,0.05,0.4,0.875
Empididae sp.,Achillea millefolium,Empididae sp._Achillea millefolium,0.02,0.074,0.731
Empididae sp.,Senecio jacobaea,Empididae sp._Senecio jacobaea,0.01,0.021,0.516
Empididae sp., Malva sylvestris,Empididae sp._ Malva sylvestris,0.005,0.714,0.993
Empididae sp.,Chrysanthemum maximum,Empididae sp._Chrysanthemum maximum,0.002,0.25,0.992
Enicmus transversus (Olivier),Epilobium montanum,Enicmus transversus (Olivier)_Epilobium montanum,1,0.056,0.944
Eoseristalis abusivus,Tripleurospermum inodorum,Eoseristalis abusivus_Tripleurospermum inodorum,0.588,0.017,0.971
Eoseristalis abusivus,Achillea millefolium,Eoseristalis abusivus_Achillea millefolium,0.176,0.056,0.685
Eoseristalis abusivus,Daucus carota,Eoseristalis abusivus_Daucus carota,0.088,0.176,0.5
Eoseristalis abusivus,Tanacetum vulgare,Eoseristalis abusivus_Tanacetum vulgare,0.088,0.005,0.942
Eoseristalis abusivus, Melilotus alba,Eoseristalis abusivus_ Melilotus alba,0.059,0.041,0.306
Eoseristalis abustorum,Tripleurospermum inodorum,Eoseristalis abustorum_Tripleurospermum inodorum,1,0.009,0.991
Episyrphus balteatus,Tripleurospermum inodorum,Episyrphus balteatus_Tripleurospermum inodorum,0.641,0.026,0.96
Episyrphus balteatus,Senecio jacobaea,Episyrphus balteatus_Senecio jacobaea,0.171,0.041,0.759
Episyrphus balteatus,Tanacetum vulgare,Episyrphus balteatus_Tanacetum vulgare,0.064,0.005,0.921
Episyrphus balteatus,Chaerophyllum temulentum,Episyrphus balteatus_Chaerophyllum temulentum,0.043,0.021,0.513
Episyrphus balteatus, Melilotus alba,Episyrphus balteatus_ Melilotus alba,0.043,0.041,0.045
Episyrphus balteatus,Cirsium vulgare ,Episyrphus balteatus_Cirsium vulgare ,0.038,0.036,0.06
"Epuraea depressa Illiger, Nitidulidae",Cirsium arvense,"Epuraea depressa Illiger, Nitidulidae_Cirsium arvense",1,0.033,0.967
Eristalinus spulchralis,Tripleurospermum inodorum,Eristalinus spulchralis_Tripleurospermum inodorum,1,0.009,0.991
Eumerus tuberculatus,Silene dioica,Eumerus tuberculatus_Silene dioica,0.533,0.049,0.907
Eumerus tuberculatus,Epilobium montanum,Eumerus tuberculatus_Epilobium montanum,0.333,0.333,0
Eumerus tuberculatus,Tripleurospermum inodorum,Eumerus tuberculatus_Tripleurospermum inodorum,0.111,0.009,0.922
Eumerus tuberculatus,Chamomilla recutita,Eumerus tuberculatus_Chamomilla recutita,0.022,0.037,0.4
Heleomyzidae sp.,Tripleurospermum inodorum,Heleomyzidae sp._Tripleurospermum inodorum,0.909,0.009,0.991
Heleomyzidae sp.,Aegopodium podagraria,Heleomyzidae sp._Aegopodium podagraria,0.091,0.143,0.364
Lauxaniidae sp.,Trifolium repens,Lauxaniidae sp._Trifolium repens,0.741,0.095,0.871
Lauxaniidae sp.,Chamomilla recutita,Lauxaniidae sp._Chamomilla recutita,0.111,0.444,0.75
Lauxaniidae sp.,Silene dioica,Lauxaniidae sp._Silene dioica,0.111,0.025,0.778
Lauxaniidae sp.,Verbascum thapsus,Lauxaniidae sp._Verbascum thapsus,0.019,0.033,0.444
Lauxaniidae sp.,Myosotis palustris,Lauxaniidae sp._Myosotis palustris,0.009,0.077,0.88
Lauxaniidae sp.,Vicia hirsuta,Lauxaniidae sp._Vicia hirsuta,0.009,0.077,0.88
Leptura rubra Linnaeus,Tripleurospermum inodorum,Leptura rubra Linnaeus_Tripleurospermum inodorum,0.704,0.069,0.902
Leptura rubra Linnaeus,Achillea millefolium,Leptura rubra Linnaeus_Achillea millefolium,0.229,0.241,0.049
Leptura rubra Linnaeus,Tanacetum vulgare,Leptura rubra Linnaeus_Tanacetum vulgare,0.053,0.01,0.808
Leptura rubra Linnaeus,Daucus carota,Leptura rubra Linnaeus_Daucus carota,0.009,0.059,0.85
Leptura rubra Linnaeus,Cirsium vulgare ,Leptura rubra Linnaeus_Cirsium vulgare ,0.005,0.012,0.562
"Malachius viridis Fabricius, Malachiidae",Trifolium repens,"Malachius viridis Fabricius, Malachiidae_Trifolium repens",1,0.048,0.952
Maniola jurtina,Silene dioica,Maniola jurtina_Silene dioica,0.403,0.086,0.785
Maniola jurtina,Trifolium repens,Maniola jurtina_Trifolium repens,0.384,0.048,0.876
Maniola jurtina,Cirsium arvense,Maniola jurtina_Cirsium arvense,0.096,0.033,0.652
Maniola jurtina,Tripleurospermum inodorum,Maniola jurtina_Tripleurospermum inodorum,0.096,0.017,0.82
Maniola jurtina,Verbascum thapsus,Maniola jurtina_Verbascum thapsus,0.019,0.033,0.425
Maniola jurtina,Cirsium vulgare ,Maniola jurtina_Cirsium vulgare ,0.003,0.012,0.761
Melanostoma scalare,Aegopodium podagraria,Melanostoma scalare_Aegopodium podagraria,1,0.143,0.857
