from,to,pair,dep_animal_on_plant,dep_plant_on_animal,ASYMMETRY
Tanypezidae sp.,Epilobium montanum,Tanypezidae sp._Epilobium montanum,0.287,0.056,0.807
Tanypezidae sp.,Chrysanthemum maximum,Tanypezidae sp._Chrysanthemum maximum,0.138,0.75,0.816
Tanypezidae sp.,Myosotis palustris,Tanypezidae sp._Myosotis palustris,0.115,0.077,0.331
Tephritidae sp.,Tripleurospermum inodorum,Tephritidae sp._Tripleurospermum inodorum,0.649,0.009,0.987
Tephritidae sp., Melilotus alba,Tephritidae sp._ Melilotus alba,0.195,0.061,0.686
Tephritidae sp.,Myosotis palustris,Tephritidae sp._Myosotis palustris,0.13,0.077,0.408
Tephritidae sp.,Echium vulgare,Tephritidae sp._Echium vulgare,0.026,0.048,0.455
"Thymelicus sylvestris, Hesperiidae",Tanacetum vulgare,"Thymelicus sylvestris, Hesperiidae_Tanacetum vulgare",0.6,0.005,0.992
"Thymelicus sylvestris, Hesperiidae",Vicia hirsuta,"Thymelicus sylvestris, Hesperiidae_Vicia hirsuta",0.4,0.077,0.808
Tipulidae sp.,Trifolium repens,Tipulidae sp._Trifolium repens,1,0.048,0.952
"Zygaena filipendulae, Zygaenidae",Cirsium arvense,"Zygaena filipendulae, Zygaenidae_Cirsium arvense",1,0.033,0.967
